title,id,language,ontologyId,resultType,address,position,access,distance,categories,references,foodTypes,contacts,openingHours
Sakura Home,here:pds:place:116w63gg-f3d620571ebc4b3dbc80fb15abc314ae,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'Sakura Home, ផ្លូវខេត្ត 2អេសអ3, 171209 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សៀមរាប', 'street': 'ផ្លូវខេត្ត 2អេសអ3', 'postalCode': '171209'}","{'lat': 13.33411, 'lng': 103.8503}","[{'lat': 13.33402, 'lng': 103.8503}]",502,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '20864599'}]",,,
Borei Hang Tep Residence & Spa,here:pds:place:116w63gg-48da1d18f0864c99a824e711e039506b,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'Borei Hang Tep Residence & Spa, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34385, 'lng': 103.85045}","[{'lat': 13.34388, 'lng': 103.85032}]",1149,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '15141931'}]",,"[{'phone': [{'value': '+85570777788'}], 'www': [{'value': 'http://www.boreihangtep.com'}]}]",
Kim & Nic's Lodge,here:pds:place:116w63gg-6799a72603634e14b4e6c6c2b3ce65c7,en,here:cm:ontology:bed_and_breakfast,place,"{'label': ""Kim & Nic's Lodge, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា"", 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34356, 'lng': 103.86169}","[{'lat': 13.34356, 'lng': 103.86168}]",1247,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '13532953'}]",,[{'phone': [{'value': '+85570604036'}]}],
Chez Tel,here:pds:place:116w63gg-df4be885ef1146b09cde8d7483581b85,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'Chez Tel, ផ្លូវជាតិ 63, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវជាតិ 63', 'postalCode': '171204'}","{'lat': 13.34721, 'lng': 103.85363}","[{'lat': 13.34718, 'lng': 103.85376}]",1422,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '17673358'}]",,"[{'phone': [{'value': '+85512726939'}], 'www': [{'value': 'http://www.cheztel.com'}]}]",
K-Eco House,here:pds:place:116httek-493d0eb649ef0e01c38e09cd5ec657c8,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'K-Eco House, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34719, 'lng': 103.85904}","[{'lat': 13.34729, 'lng': 103.85886}]",1482,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}]",,,[{'phone': [{'value': '+855888806275'}]}],
The Lodger Siem Reap,here:pds:place:116aabd1-7196475a721906dd0b6ce9900db30ab5,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'The Lodger Siem Reap, 171206 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ជ្រាវ', 'postalCode': '171206'}","{'lat': 13.33419, 'lng': 103.87074}","[{'lat': 13.3343, 'lng': 103.87082}]",1712,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '11947877'}]",,[{'phone': [{'value': '+855965592157'}]}],
Krissna Villa Siem Reap,here:pds:place:116w63gg-c7bb963626524567a0c085db140d3770,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'Krissna Villa Siem Reap, ផ្លូវខេត្ត 2អេសអ4, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'ផ្លូវខេត្ត 2អេសអ4', 'postalCode': '171202'}","{'lat': 13.34874, 'lng': 103.84819}","[{'lat': 13.3487, 'lng': 103.84806}]",1745,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '14212655'}]",,"[{'phone': [{'value': '+85512222012'}], 'www': [{'value': 'http://www.krissnavilla.com'}]}]",
Baitang House,here:pds:place:116w63gg-6b169e8dca2e4bdfb3fd1aab9109cb89,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'Baitang House, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.34644, 'lng': 103.84335}","[{'lat': 13.34644, 'lng': 103.84321}]",1826,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]",,,"[{'phone': [{'value': '+85587757555'}], 'www': [{'value': 'http://www.baitanghouse.com'}]}]",
Be Happy Guesthouse Siem Reap,here:pds:place:116w63gg-2689103fe47445feb18f2f2e2286134a,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'Be Happy Guesthouse Siem Reap, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.35002, 'lng': 103.84839}","[{'lat': 13.34989, 'lng': 103.84836}]",1867,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '17561791'}, {'supplier': {'id': 'tripadvisor'}, 'id': '17727817'}]",,"[{'phone': [{'value': '+855967470842'}], 'www': [{'value': 'https://www.be-happy.asia'}]}]",
Urban Residences - Siem Reap,here:pds:place:116w63gg-a6ab98e87b51460aae87bf973bea8899,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'Urban Residences - Siem Reap, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.35132, 'lng': 103.85544}","[{'lat': 13.35131, 'lng': 103.85558}]",1873,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '16747645'}]",,,
Unity Hostel,here:pds:place:116w63gg-6177947218eb4def805ab2d60144ff99,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'Unity Hostel, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.35168, 'lng': 103.85513}","[{'lat': 13.35181, 'lng': 103.85508}]",1913,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}, {'id': '500-5100-0055', 'name': 'Hostel'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '17384359'}]",,"[{'phone': [{'value': '+85512832877'}], 'www': [{'value': 'https://www.facebook.com/unityhostelsiemreap', 'categories': [{'id': '500-5100-0058'}]}]}]",
Angkor Udom Online Products & Services,here:pds:place:116w63gg-30245fed8b614230bcce4c166e8b07a8,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'Angkor Udom Online Products & Services, ផ្លូវខេត្ត 267, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'ផ្លូវខេត្ត 267', 'postalCode': '171202'}","{'lat': 13.35214, 'lng': 103.85297}","[{'lat': 13.35204, 'lng': 103.85306}]",1975,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}, {'id': '400-4100-0041', 'name': 'Transportation Service'}, {'id': '700-7460-0115', 'name': 'Tourist Information'}]",,,"[{'phone': [{'value': '+85515680568'}], 'www': [{'value': 'http://www.angkorudom.com'}]}]",
Baahu Villa,here:pds:place:116w63gg-cc1932da03564abfba1d8c9b1525b3c7,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'Baahu Villa, ផ្លូវខេត្ត 267, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'ផ្លូវខេត្ត 267', 'postalCode': '171202'}","{'lat': 13.35217, 'lng': 103.85301}","[{'lat': 13.35207, 'lng': 103.8531}]",1978,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}, {'id': '500-5000-0053', 'name': 'Hotel'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '19186703'}]",,"[{'phone': [{'value': '+85512403938'}], 'www': [{'value': 'https://baahuvilla.com', 'categories': [{'id': '500-5100-0058'}]}]}]",
Anou Home - Guesthouse,here:pds:place:116w63gg-c384c8d5905e45d4a29a5fca0a5066fe,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'Anou Home - Guesthouse, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.34986, 'lng': 103.84543}","[{'lat': 13.34989, 'lng': 103.8453}]",1995,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}, {'id': '500-5100-0057', 'name': 'Guest House'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '12107694'}]",,"[{'phone': [{'value': '+85510306496', 'categories': [{'id': '500-5100-0058'}]}, {'value': '+855963007596'}]}]",
The One by Nika,here:pds:place:116w63gg-5da26217d42108cb044384564e4a5d15,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'The One by Nika, ផ្លូវ 7 មករ, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវ 7 មករ', 'postalCode': '171204'}","{'lat': 13.35199, 'lng': 103.85936}","[{'lat': 13.35187, 'lng': 103.85931}]",2005,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}, {'id': '500-5000-0053', 'name': 'Hotel'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '27190201'}]",,"[{'phone': [{'value': '+85592938686'}], 'www': [{'value': 'https://theonebynika.com', 'categories': [{'id': '500-5100-0058'}]}]}]",
Unique Home,here:pds:place:116w63gg-aa5e3733c85843409cc65e2dbf2be7e7,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'Unique Home, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.35216, 'lng': 103.86105}","[{'lat': 13.35217, 'lng': 103.86105}]",2075,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '17606902'}]",,,
Siem Reap Rooms Guesthouse,here:pds:place:116aabd1-28b6f38ed0490cc320e0bf34e4855444,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'Siem Reap Rooms Guesthouse, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.35345, 'lng': 103.85977}","[{'lat': 13.35345, 'lng': 103.85977}]",2174,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '1533321'}]",,"[{'phone': [{'value': '+85589477960'}], 'www': [{'value': 'http://www.siemreaprooms.com/guesthouse/index.html'}]}]",
The Friendship Villa by Amatak,here:pds:place:116w63gg-ae6710ff412f17199df64328f3871392,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'The Friendship Villa by Amatak, 171206 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ជ្រាវ', 'postalCode': '171206'}","{'lat': 13.33604, 'lng': 103.87564}","[{'lat': 13.33617, 'lng': 103.87565}]",2249,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}, {'id': '500-5100-0000', 'name': 'Lodging'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '27124808'}]",,[{'phone': [{'value': '+85593384777'}]}],
Maison557,here:pds:place:116aabd1-bbd1ac6980080198fd440c0c3de674c0,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'Maison557, វិថី វត្តបូ, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី វត្តបូ', 'postalCode': '171204'}","{'lat': 13.3544, 'lng': 103.85915}","[{'lat': 13.35445, 'lng': 103.85902}]",2262,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}, {'id': '500-5000-0053', 'name': 'Hotel'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '3491883'}]",,"[{'phone': [{'value': '+85510340240'}, {'value': '+85589280830'}], 'www': [{'value': 'http://www.maison557.com'}]}]",
Budha Statue,here:pds:place:116w63gg-65fc294e4df9470aaec148d513360b0c,en,here:cm:ontology:museum,place,"{'label': 'Budha Statue, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.35233, 'lng': 103.86103}","[{'lat': 13.3522, 'lng': 103.86098}]",2092,"[{'id': '300-3100-0029', 'name': 'Art Museum', 'primary': True}]",,,[{'phone': [{'value': '+855962164720'}]}],
Banteay Srey Butterfly Centre,here:pds:place:116w63uv-9ef332446d624d2286139407dc38de7c,en,here:cm:ontology:museum,place,"{'label': 'Banteay Srey Butterfly Centre, ផ្លូវ 8-ប៉េ អ៊ុយ បេ, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'ផ្លូវ 8-ប៉េ អ៊ុយ បេ', 'postalCode': '171202'}","{'lat': 13.35477, 'lng': 103.85468}","[{'lat': 13.35476, 'lng': 103.85469}]",2256,"[{'id': '300-3100-0000', 'name': 'Museum', 'primary': True}]",,,,
Tamjet Kids,here:pds:place:116w63gg-884e4daa8113fc6f1fc334b14eb8e5e0,en,here:cm:ontology:museum,place,"{'label': 'Tamjet Kids, វិថី វត្តបូ, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី វត្តបូ', 'postalCode': '171204'}","{'lat': 13.35477, 'lng': 103.85927}","[{'lat': 13.35481, 'lng': 103.85918}]",2305,"[{'id': '300-3100-0027', 'name': ""Children's Museum"", 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '25291354'}]",,[{'phone': [{'value': '+85512308027'}]}],
Seam Reab Angkor Wat,here:pds:place:116w63u5-ed8739917378403683daa9c0cc2904ba,en,here:cm:ontology:museum,place,"{'label': 'Seam Reab Angkor Wat, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.36065, 'lng': 103.86551}","[{'lat': 13.36065, 'lng': 103.86537}]",3127,"[{'id': '300-3100-0028', 'name': 'History Museum', 'primary': True}, {'id': '700-7460-0115', 'name': 'Tourist Information'}]",,,,
Viemean Sokha Museum,here:pds:place:116w63u5-016489aa1d7ab45d5fca3eafe0f2b833,en,here:cm:ontology:museum,place,"{'label': 'Viemean Sokha Museum, ផ្លូវជាតិ 63, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'ផ្លូវជាតិ 63', 'postalCode': '171202'}","{'lat': 13.36315, 'lng': 103.85647}","[{'lat': 13.36321, 'lng': 103.85634}]",3192,"[{'id': '300-3100-0029', 'name': 'Art Museum', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '25250277'}]",,[{'phone': [{'value': '+85585711979'}]}],"[{'text': ['Mon-Thu, Sat, Sun: 09:30 - 18:00', 'Fri: 10:00 - 18:00'], 'isOpen': True, 'structured': [{'start': 'T093000', 'duration': 'PT08H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,SA,SU'}, {'start': 'T100000', 'duration': 'PT08H00M', 'recurrence': 'FREQ:DAILY;BYDAY:FR'}]}]"
Vimean Sokah Museum,here:pds:place:116w63u5-aa42ee9626f5df27aa7e8437a1d4ed43,en,here:cm:ontology:museum,place,"{'label': 'Vimean Sokah Museum, 171201 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្លក្រាម', 'postalCode': '171201'}","{'lat': 13.36356, 'lng': 103.86079}","[{'lat': 13.36351, 'lng': 103.86092}]",3295,"[{'id': '300-3100-0028', 'name': 'History Museum', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '25173763'}]",,,"[{'text': ['Mon-Sun: 07:00 - 19:00'], 'isOpen': True, 'structured': [{'start': 'T070000', 'duration': 'PT12H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
Angkor National Museum,here:pds:place:116w63u5-d1f09d6e49b9436b82d0cf78a677783d,en,here:cm:ontology:museum,place,"{'label': 'Angkor National Museum, 171201 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្លក្រាម', 'postalCode': '171201'}","{'lat': 13.36648, 'lng': 103.8601}","[{'lat': 13.36647, 'lng': 103.86024}]",3602,"[{'id': '300-3100-0028', 'name': 'History Museum', 'primary': True}, {'id': '300-3100-0000', 'name': 'Museum'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '1908787'}]",,"[{'phone': [{'value': '+85563966601'}], 'www': [{'value': 'http://www.angkornationalmuseum.com'}]}]","[{'text': ['Mon-Thu, Sun: 08:30 - 18:30', 'Fri, Sat: 08:30 - 18:00'], 'isOpen': True, 'structured': [{'start': 'T083000', 'duration': 'PT10H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,SU'}, {'start': 'T083000', 'duration': 'PT09H30M', 'recurrence': 'FREQ:DAILY;BYDAY:FR,SA'}]}]"
Artbox,here:pds:place:116w63u4-64020bdd544e46938b9fef77de35a6b0,en,here:cm:ontology:museum,place,"{'label': 'Artbox, ផ្លូវខេត្ត 2អេសអ4, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'ផ្លូវខេត្ត 2អេសអ4', 'postalCode': '171202'}","{'lat': 13.36349, 'lng': 103.8303}","[{'lat': 13.36359, 'lng': 103.83039}]",4183,"[{'id': '300-3100-0000', 'name': 'Museum', 'primary': True}, {'id': '300-3000-0024', 'name': 'Gallery'}, {'id': '300-3100-0029', 'name': 'Art Museum'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '12173760'}]",,"[{'phone': [{'value': '+85515817840'}, {'value': '+85563900600', 'categories': [{'id': '300-3000-0024'}, {'id': '300-3100-0000'}]}], 'www': [{'value': 'http://www.facebook.com/ArtBoxinSiemReap?mibextid=LQQJ4d'}]}]","[{'text': ['Mon-Sun: 09:00 - 18:00'], 'isOpen': True, 'structured': [{'start': 'T090000', 'duration': 'PT09H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
MGC Asian Traditional Textiles Museum,here:pds:place:116w63u5-93a9300a06bf41a1a04337b8334a8916,en,here:cm:ontology:museum,place,"{'label': 'MGC Asian Traditional Textiles Museum, 60m, 171201 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្លក្រាម', 'postalCode': '171201', 'houseNumber': '60m'}","{'lat': 13.37532, 'lng': 103.88023}","[{'lat': 13.37589, 'lng': 103.88022}]",5303,"[{'id': '300-3100-0000', 'name': 'Museum', 'primary': True}]","[{'supplier': {'id': 'core'}, 'id': '1232151637'}, {'supplier': {'id': 'tripadvisor'}, 'id': '10268767'}]",,"[{'phone': [{'value': '+85563765571'}, {'value': '+85563765573'}, {'value': '+85563765574'}], 'email': [{'value': 'mgcattm@gmail.com'}, {'value': 'mgcattmadmn@gmail.com'}]}]",
Angkor Panorama Museum,here:pds:place:116w63u5-831754b66cf74825b6d7d4de01608ebe,en,here:cm:ontology:museum,place,"{'label': 'Angkor Panorama Museum, 171201 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្លក្រាម', 'postalCode': '171201'}","{'lat': 13.37726, 'lng': 103.8807}","[{'lat': 13.37713, 'lng': 103.8807}]",5514,"[{'id': '300-3100-0028', 'name': 'History Museum', 'primary': True}, {'id': '300-3100-0029', 'name': 'Art Museum'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '9864662'}]",,"[{'phone': [{'value': '+85563765263'}], 'www': [{'value': 'http://www.angkorpanoramamuseum.com'}]}]","[{'text': ['Mon-Sun: 09:00 - 20:00'], 'isOpen': True, 'structured': [{'start': 'T090000', 'duration': 'PT11H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
Preah Norodom Sihanouk-Angkor Museum,here:pds:place:116w63u5-3f5efd4fdd8f41e68573f5df9c4f613c,en,here:cm:ontology:museum,place,"{'label': 'Preah Norodom Sihanouk-Angkor Museum, 171205 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'នគរធំ', 'postalCode': '171205'}","{'lat': 13.38221, 'lng': 103.87985}","[{'lat': 13.38208, 'lng': 103.87985}]",5953,"[{'id': '300-3100-0028', 'name': 'History Museum', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '1826569'}]",,,
Cambodia War Remnant Museum,here:pds:place:116w63u5-56d654e8034d4bfeaa732cf80c03edf5,en,here:cm:ontology:museum,place,"{'label': 'Cambodia War Remnant Museum, 171205 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'នគរធំ', 'postalCode': '171205'}","{'lat': 13.38744, 'lng': 103.86816}","[{'lat': 13.38731, 'lng': 103.86814}]",6061,"[{'id': '300-3100-0028', 'name': 'History Museum', 'primary': True}, {'id': '300-3100-0000', 'name': 'Museum'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '10158892'}]",,"[{'phone': [{'value': '+855967757552'}], 'www': [{'value': 'http://cambodiawarrem.com'}]}]","[{'text': ['Mon-Sun: 09:00 - 17:00'], 'isOpen': True, 'structured': [{'start': 'T090000', 'duration': 'PT08H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
War Museum Cambodia,here:pds:place:116w63u4-8030b959742c4b44b13eeb5b5c26e538,en,here:cm:ontology:museum,place,"{'label': 'War Museum Cambodia, 171211 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ទឹកវិល', 'postalCode': '171211'}","{'lat': 13.38907, 'lng': 103.83176}","[{'lat': 13.3892, 'lng': 103.83181}]",6567,"[{'id': '300-3100-0000', 'name': 'Museum', 'primary': True}, {'id': '300-3100-0028', 'name': 'History Museum'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '556684'}]",,"[{'phone': [{'value': '+855974578666'}], 'www': [{'value': 'http://www.warmuseumcambodia.com', 'categories': [{'id': '300-3100-0028'}]}, {'value': 'https://www.facebook.com/warmuseumcambodia', 'categories': [{'id': '300-3100-0000'}]}]}]","[{'categories': [{'id': '300-3100-0000'}], 'text': ['Mon-Sun: 08:00 - 17:30'], 'isOpen': True, 'structured': [{'start': 'T080000', 'duration': 'PT09H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
Peace Museum of Mine Action,here:pds:place:116w63gx-c24b7612422a0701341da88377a41578,en,here:cm:ontology:museum,place,"{'label': 'Peace Museum of Mine Action, 170508 ប្រាសាទបាគង, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'ប្រាសាទបាគង', 'district': 'ត្រពាំងធំ', 'postalCode': '170508'}","{'lat': 13.30675, 'lng': 104.05242}","[{'lat': 13.30665, 'lng': 104.05232}]",21591,"[{'id': '300-3100-0000', 'name': 'Museum', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '13424992'}]",,,
